,truth,pred
162,2.59E-01,#N/A
164,2.76E-01,#N/A
166,2.42E-01,#N/A
168,1.68E-01,#N/A
170,1.84E-01,#N/A
172,8.92E-02,#N/A
174,5.45E-02,#N/A
176,9.98E-02,#N/A
178,4.90E-03,#N/A
180,4.00E-02,#N/A
182,5.10E-03,4.38E-03
184,-5.98E-02,-2.39E-02
186,-1.05E-01,-5.71E-02
188,-1.89E-01,-9.73E-02
190,-2.04E-01,-1.30E-01
192,-2.28E-01,-1.61E-01
194,-2.12E-01,-1.91E-01
196,-2.46E-01,-2.28E-01
198,-3.39E-01,-2.59E-01
200,-3.72E-01,-2.89E-01
202,-3.55E-01,-3.24E-01
204,-4.07E-01,-3.60E-01
206,-3.98E-01,-3.89E-01
208,-4.69E-01,-4.18E-01
210,-4.70E-01,-4.52E-01
212,-5.50E-01,-4.84E-01
214,-5.29E-01,-5.13E-01
216,-6.18E-01,-5.44E-01
218,-5.96E-01,-5.74E-01
220,-6.03E-01,-6.02E-01
222,-6.89E-01,-6.30E-01
224,-6.85E-01,-6.56E-01
226,-7.39E-01,-6.81E-01
228,-7.83E-01,-7.06E-01
230,-7.96E-01,-7.30E-01
232,-7.48E-01,-7.54E-01
234,-8.39E-01,-7.76E-01
236,-8.39E-01,-7.98E-01
238,-8.78E-01,-8.19E-01
240,-9.16E-01,-8.40E-01
242,-8.93E-01,-8.59E-01
244,-9.39E-01,-8.76E-01
246,-9.24E-01,-8.93E-01
248,-9.17E-01,-9.08E-01
250,-9.30E-01,-9.22E-01
252,-9.71E-01,-9.36E-01
254,-9.81E-01,-9.47E-01
256,-9.60E-01,-9.56E-01
258,-9.68E-01,-9.66E-01
260,-9.85E-01,-9.75E-01
262,-1.04E+00,-9.83E-01
264,-1.03E+00,-9.88E-01
266,-1.01E+00,-9.93E-01
268,-9.89E-01,-9.96E-01
270,-9.80E-01,-9.99E-01
272,-1.02E+00,-1.00E+00
274,-9.88E-01,-1.00E+00
276,-9.65E-01,-9.99E-01
278,-9.50E-01,-9.97E-01
280,-9.95E-01,-9.93E-01
282,-9.88E-01,-9.88E-01
284,-9.70E-01,-9.82E-01
286,-9.81E-01,-9.74E-01
288,-9.61E-01,-9.66E-01
290,-9.50E-01,-9.56E-01
292,-9.17E-01,-9.45E-01
294,-9.04E-01,-9.33E-01
296,-9.19E-01,-9.20E-01
298,-9.03E-01,-9.06E-01
300,-8.56E-01,-8.90E-01
302,-8.08E-01,-8.74E-01
304,-8.09E-01,-8.56E-01
306,-8.39E-01,-8.38E-01
308,-8.18E-01,-8.19E-01
310,-8.06E-01,-7.99E-01
312,-7.83E-01,-7.78E-01
314,-7.59E-01,-7.55E-01
316,-6.85E-01,-7.32E-01
318,-6.59E-01,-7.08E-01
320,-6.23E-01,-6.84E-01
322,-6.66E-01,-6.58E-01
324,-6.38E-01,-6.32E-01
326,-6.09E-01,-6.04E-01
328,-5.30E-01,-5.76E-01
330,-5.40E-01,-5.47E-01
332,-4.99E-01,-5.17E-01
334,-4.58E-01,-4.86E-01
336,-4.57E-01,-4.55E-01
338,-3.35E-01,-4.23E-01
340,-3.12E-01,-3.92E-01
342,-2.69E-01,-3.58E-01
344,-2.36E-01,-3.26E-01
346,-2.02E-01,-2.93E-01
348,-1.78E-01,-2.60E-01
350,-1.94E-01,-2.28E-01
352,-1.79E-01,-1.95E-01
354,-1.25E-01,-1.61E-01
356,-9.98E-02,-1.29E-01
358,-2.49E-02,-9.57E-02
